Nombre del Archivo;Longitud de la cadena;Media;Complejidad_Media(c,c/b);Mediana;Complejidad_Mediana(c,c/b) 
DATA_20190307-0003_4_37Millones maximos_t_0.02;164610;2.3335955346576763e-05;(8654, 0.9110169765804167);2.7648000000102257e-05;(9339, 0.9831277495128855)
DATA_20190307-0003_4_37Millones maximos_t_0.06;148580;2.585362504778571e-05;(7329, 0.8474806332812163);2.7852800000172095e-05;(8380, 0.9690118306585609)
DATA_20190307-0003_4_37Millones maximos_t_0.04;154671;2.4835499929527844e-05;(8017, 0.8935340556735267);2.7852799999728006e-05;(8735, 0.9735586848332614)
DATA_20190307-0003_4_37Millones maximos_V_0.05;151948;0.22579085172040275;(8853, 1.0028998102727993);0.22834645211696625;(8847, 1.0022201086053828)
DATA_20190307-0003_4_37Millones maximos_t_0.01;179731;2.137267143453272e-05;(9191, 0.892630176749501);2.7033600000003766e-05;(10165, 0.9872250839580762)
DATA_20190307-0003_4_37Millones maximos_t_0.03;159926;2.401943154709053e-05;(8494, 0.9181506449824138);2.7750400000026154e-05;(9007, 0.9736028796040265)
DATA_20190307-0003_4_37Millones maximos_V_0.03;159927;0.21645271711423836;(9263, 1.0012692115748074);0.22047244012355804;(9286, 1.003755359892439)
DATA_20190307-0003_4_37Millones maximos_t_0.05;151947;2.5280733476804418e-05;(7703, 0.8726289189624776);2.785279999995005e-05;(8551, 0.9686940005255286)
DATA_20190307-0003_4_37Millones maximos_t_0.1;138528;2.772964028644029e-05;(7697, 0.9490020775718951);2.8159999999832763e-05;(8011, 0.9877167264425688)
DATA_20190307-0003_4_37Millones maximos_V_0.1;138529;0.24050286861181075;(8042, 0.9915323202658283);0.23622047901153564;(8060, 0.9937516166802507)
DATA_20190307-0003_4_37Millones maximos_V_0.06;148581;0.2296600104138593;(8680, 1.0036958036524035);0.22834645211696625;(8680, 1.0036958036524035)
DATA_20190307-0003_4_37Millones maximos_V_0.02;164611;0.21101841667398957;(9435, 0.9932282533623289);0.21653543412685394;(9477, 0.9976496191960563)
DATA_20190307-0003_4_37Millones maximos_V_0.01;179732;0.19449980200000722;(10080, 0.9789648849315618);0.20866142213344574;(10202, 0.9908134678642653)
DATA_20190307-0003_4_37Millones maximos_V_0.04;154672;0.22261031416559451;(9004, 1.0035341118427779);0.22440944612026215;(9002, 1.0033112033328173)
